"","X.1","X","dive","p.max","sec.max","p.min","sec.min","dur","lunges","breaths","comments","surface.time","dive.time","surface.p","dive.p"
"152",152,184,183,19.5323855778568,35207,-0.0827871021954785,35147,60,1,1,"none",32.8,27.4,0.54485049833887,0.45514950166113
"153",153,185,184,24.1198442838074,35292.6,-0.0621565766105192,35207,85.5999999999985,1,1,"none",29.6,56.2,0.344988344988345,0.655011655011655
"154",154,186,185,24.004487373909,35400.6,-0.0912356905150098,35292.6,108,2,1,"none",49,59.2,0.452865064695009,0.547134935304991
"155",155,187,186,22.7964074349418,35523,-0.0576220300360326,35400.6,122.400000000001,1,1,"none",27,95.6,0.220228384991843,0.779771615008157
"156",156,188,187,22.2574004010227,35598.2,-0.0727232279716432,35523,75.1999999999971,0,1,"none",26.8,48.6,0.355437665782493,0.644562334217507
"157",157,189,188,20.9522785951629,35846.2,-0.0891868031604499,35598.2,248,0,1,"none",37.8,210.4,0.152296535052377,0.847703464947623
"158",158,190,189,19.7740116236436,36037.4,-0.0564313173893805,35846.2,191.200000000004,0,1,"none",32,159.4,0.167189132706374,0.832810867293626
"159",159,191,190,20.1301282501462,36236.6,-0.00377875027919394,36037.4,199.199999999997,0,1,"none",33.6,165.8,0.168505516549649,0.831494483450351
"160",160,192,191,21.3947023236331,36556.6,-0.0392598423621724,36236.6,320,0,2,"none",56.8,263.4,0.17738913179263,0.82261086820737
"161",161,193,192,21.697322570503,36671.8,-0.0797244915510742,36556.6,115.200000000004,0,1,"none",39.4,76,0.341421143847487,0.658578856152513
"162",162,194,193,20.3057422792827,37409.8,-0.131781673731004,36671.8,738,1,1,"none",506.2,232,0.68572202655107,0.31427797344893
